,사업장명,인허가일자,인허가취소일자,폐업일자,상세영업상태코드,상세영업상태명,도로명주소,지번주소
1025,H-body 휘트니스,2015-01-02,,,13,영업중,서울특별시 동대문구 전농로16길 9 (전농동),서울특별시 동대문구 전농동 60-166번지 
1026,힐 휘트니스,2008-04-15,,,13,영업중,서울특별시 동대문구 답십리로 209 (답십리동),서울특별시 동대문구 답십리동 산 2-9번지 
1027,M&F 스포츠클럽,2016-01-06,,,13,영업중,서울특별시 동대문구 한천로 264 (휘경동),서울특별시 동대문구 휘경동 57-1번지 
1028,버닝타임,2010-11-29,,,13,영업중,서울특별시 동대문구 장한로 120 옥산빌딩 지하층 (장안동),서울특별시 동대문구 장안동 367-2 옥산빌딩 
1029,헬스보이짐 장안점,2012-08-10,,,13,영업중,서울특별시 동대문구 장한로 119 지층 (장안동),서울특별시 동대문구 장안동 371-1 
1030,하늘스포츠재활센터,2012-11-09,,,13,영업중,서울특별시 동대문구 천호대로 317 (답십리동),서울특별시 동대문구 답십리동 492-2 
1031,TRUST GYM,2013-07-30,,,13,영업중,서울특별시 동대문구 휘경로 15 67층 (이문동),서울특별시 동대문구 이문동 305-151번지 
1032,에이블짐 휘트니스,2017-07-26,,,13,영업중,서울특별시 동대문구 장한로 91 2층 (장안동),서울특별시 동대문구 장안동 373-3번지 
1033,비너스헬스,2003-03-04,,,13,영업중,서울특별시 동대문구 홍릉로 37  (청량리동2층),서울특별시 동대문구 청량리동 672-0번지 2층 
1034,MJ 스포랜드,2017-12-12,,,13,영업중,서울특별시 동대문구 이문로 3 3층 (회기동),서울특별시 동대문구 회기동 67-3번지 
1035,투엑스휘트니스,2013-10-14,,,13,영업중,서울특별시 동대문구 한천로 42 (장안동 위더스빌),서울특별시 동대문구 장안동 580 
1036,청계스포츠(체력단련장),2013-12-10,,,13,영업중,서울특별시 동대문구 천호대로 23 (신설동),서울특별시 동대문구 신설동 97-8번지 
1037,헬스 119,2006-09-08,,,13,영업중,서울특별시 동대문구 제기로 132 (청량리동2층),서울특별시 동대문구 청량리동 57-16번지 2층 
1038,휘트니스 월드,2008-08-08,,,13,영업중,서울특별시 동대문구 한천로 166 2층 (장안동),서울특별시 동대문구 장안동 126-14 (2층) 
1039,에스라인 휘트니스,2006-04-17,,,13,영업중,서울특별시 동대문구 천장산로 39 (이문동),서울특별시 동대문구 이문동 264-205 
1040,더빠짐,2018-01-22,,,13,영업중,서울특별시 동대문구 제기로 46 4층 좌측호 (제기동),서울특별시 동대문구 제기동 705-6번지 
1041,나은척추관절운동센터,2011-12-29,,,13,영업중,서울특별시 동대문구 왕산로 137 3층 (제기동),서울특별시 동대문구 제기동 1046-4번지 
