사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
리치웰 헬스클럽,2004-03-23,,,,20090930.0,폐업,부산광역시 수영구 광안동 177-7번지 6층,"부산광역시 수영구 남천바다로21번길 85  (광안동,6층)","부산광역시 수영구 남천바다로21번길 85  (광안동,6층)",1,2009-09-30,2009,2004
산호헬스클럽,2004-04-01,,,,20101202.0,폐업,부산광역시 수영구 망미동 462-6번지 4층,"부산광역시 수영구 과정로55번길 74  (망미동,4층)","부산광역시 수영구 과정로55번길 74  (망미동,4층)",1,2010-12-02,2010,2004
다대 홈 헬스,2012-02-24,,,,20131212.0,폐업,부산광역시 사하구 다대동 1552-5번지,"부산광역시 사하구 다대로 694-2 (다대동, 석광빌딩 5층)","부산광역시 사하구 다대로 694-2 (다대동, 석광빌딩 5층)",1,2013-12-12,2013,2012
오륙도헬스클럽,2004-07-20,,,,20070426.0,폐업,부산광역시 수영구 광안동 89-18번지,부산광역시 수영구 수영로 676  (광안동),부산광역시 수영구 수영로 676  (광안동),1,2007-04-26,2007,2004
에덴프라자 피트니스,2012-11-28,,,,20171012.0,폐업,부산광역시 사하구 하단동 492-2번지 지하2층,"부산광역시 사하구 낙동대로 지하 542, 지하2층 (하단동)","부산광역시 사하구 낙동대로 지하 542, 지하2층 (하단동)",1,2017-10-12,2017,2012
더 엑스짐 서면점,2013-07-05,,,,20201211.0,폐업,부산광역시 부산진구 전포동 692-1 한일빌딩 (4층),"부산광역시 부산진구 전포대로199번길 43, 4층 (전포동, 한일빌딩)","부산광역시 부산진구 전포대로199번길 43, 4층 (전포동, 한일빌딩)",1,2020-12-11,2020,2013
크로스핏클래식,2015-04-10,,,,20180601.0,폐업,부산광역시 부산진구 가야동 154-4번지,"부산광역시 부산진구 가야공원로 15, 3층 (가야동)","부산광역시 부산진구 가야공원로 15, 3층 (가야동)",1,2018-06-01,2018,2015
림휘트니스 하단점,2014-05-16,,,,20150504.0,폐업,부산광역시 사하구 하단동 525-23번지,부산광역시 사하구 낙동남로 1395 (하단동),부산광역시 사하구 낙동남로 1395 (하단동),1,2015-05-04,2015,2014
장정구복싱다이어트헬스클럽,2004-12-10,,,,20051109.0,폐업,부산광역시 수영구 광안동 116-26번지 솔내음파비르 3층,"부산광역시 수영구 수영로 632-1  (광안동,솔내음파비르 3층)","부산광역시 수영구 수영로 632-1  (광안동,솔내음파비르 3층)",1,2005-11-09,2005,2004
바디메이킹,2016-06-03,,,,20190524.0,폐업,"부산광역시 부산진구 개금동 198-1번지 4,5층","부산광역시 부산진구 개금온정로 6, 4,5층 (개금동, 개금블루스카이)","부산광역시 부산진구 개금온정로 6, 4,5층 (개금동, 개금블루스카이)",1,2019-05-24,2019,2016
윈즈휘트니스,2016-07-18,,,,20191203.0,폐업,부산광역시 부산진구 범천동 847-2번지,"부산광역시 부산진구 범일로 158 (범천동, 티웨딩홀 (구 황실예식장))","부산광역시 부산진구 범일로 158 (범천동, 티웨딩홀 (구 황실예식장))",1,2019-12-03,2019,2016
화명 스포티아,2016-12-27,,,,20200618.0,폐업,부산광역시 북구 화명동 2268-2번지,"부산광역시 북구 금곡대로303번길 38, 4층 (화명동, 낙천탕)","부산광역시 북구 금곡대로303번길 38, 4층 (화명동, 낙천탕)",1,2020-06-18,2020,2016
썬앤문헬스클럽,2001-11-28,,,,20210415.0,폐업,부산광역시 영도구 청학동 7-24,"부산광역시 영도구 태종로 361, 2층 (청학동)","부산광역시 영도구 태종로 361, 2층 (청학동)",1,2021-04-15,2021,2001
헬스프라자,1997-06-24,,,,20081021.0,폐업,부산광역시 영도구 영선동3가 59-1번지,부산광역시 영도구 영선대로 47  (영선동3가),부산광역시 영도구 영선대로 47  (영선동3가),1,2008-10-21,2008,1997
삼안헬스,1998-09-29,,,,20081020.0,폐업,부산광역시 영도구 동삼동 268-6번지,부산광역시 영도구 동삼로 64  (동삼동),부산광역시 영도구 동삼로 64  (동삼동),1,2008-10-20,2008,1998
삼창체육관,2003-01-29,,,,20040331.0,폐업,부산광역시 영도구 동삼동 361-11번지,부산광역시 영도구 동삼로 25  (동삼동),부산광역시 영도구 동삼로 25  (동삼동),1,2004-03-31,2004,2003
팝스휘트니스클럽,2004-09-09,,,,20061110.0,폐업,"부산광역시 영도구 동삼동 1124-1번지 함지그린상가 302호,303호,304호,305호","부산광역시 영도구 함지로 6  (동삼동,함지그린상가 302호,303호,304호,305호)","부산광역시 영도구 함지로 6  (동삼동,함지그린상가 302호,303호,304호,305호)",1,2006-11-10,2006,2004
김대숙 헬스,2004-12-13,,,,20210426.0,폐업,부산광역시 영도구 청학동 489-30 원우엘리치빌 상가1동 401호,부산광역시 영도구 조내기로 36 (청학동),부산광역시 영도구 조내기로 36 (청학동),1,2021-04-26,2021,2004
드림헬스,2007-01-11,,,,20220608.0,폐업,부산광역시 영도구 영선동3가 34-1,"부산광역시 영도구 절영로101번길 22, 2층 (영선동3가)","부산광역시 영도구 절영로101번길 22, 2층 (영선동3가)",1,2022-06-08,2022,2007
송도해수랜드헬스,2005-03-31,,,,20060926.0,폐업,부산광역시 서구 남부민동 523-53번지,부산광역시 서구 충무대로 134  (남부민동),부산광역시 서구 충무대로 134  (남부민동),1,2006-09-26,2006,2005
광명헬스,1997-03-17,,,,19991231.0,폐업,부산광역시 서구 충무동1가 10-7번지,,부산광역시 서구 충무동1가 10-7번지,1,1999-12-31,1999,1997
동남헬스,1998-12-07,,,,20120515.0,폐업,부산광역시 서구 동대신동3가 13-70번지,부산광역시 서구 보수대로 260 (동대신동3가),부산광역시 서구 보수대로 260 (동대신동3가),1,2012-05-15,2012,1998
구덕신협헬스,1999-12-07,,,,20110429.0,폐업,부산광역시 서구 동대신동1가 163-2번지,부산광역시 서구 대영로74번길 17  (동대신동1가),부산광역시 서구 대영로74번길 17  (동대신동1가),1,2011-04-29,2011,1999
